Misc,playerID,birthYear,birthCountry,birthCity,deathYear,deathCountry,deathCity,nameFirst,nameLast,Birthplace,geoname_id,continent_code,country_iso_code,country_name,city_name,registered_country_geoname_id,latitude,longitude
0,aardsda01,1981,United States,Denver,,,,David,Aardsma,United States Denver,4463523,,US,United States,Denver,6252001,35.4837,-80.9898
4,aaronha01,1934,United States,Mobile,,,,Hank,Aaron,United States Mobile,4076598,,US,United States,Mobile,6252001,30.6605,-88.1618
5,aaronto01,1939,United States,Mobile,1984,USA,Atlanta,Tommie,Aaron,United States Mobile,4076598,,US,United States,Mobile,6252001,30.6605,-88.1618
6,aasedo01,1954,United States,Orange,,,,Don,Aase,United States Orange,4716805,,US,United States,Orange,6252001,30.0709,-93.8659
12,abadan01,1972,United States,Palm Beach,,,,Andy,Abad,United States Palm Beach,4167505,,US,United States,Palm Beach,6252001,26.7206,-80.0388
14,abadijo01,1850,United States,Philadelphia,1905,USA,Pemberton,John,Abadie,United States Philadelphia,4440906,,US,United States,Philadelphia,6252001,32.7572,-89.1154
18,abbated01,1877,United States,Latrobe,1957,USA,Fort Lauderdale,Ed,Abbaticchio,United States Latrobe,5197227,,US,United States,Latrobe,6252001,40.2917,-79.4054
19,abbeybe01,1869,United States,Essex,1962,USA,Colchester,Bert,Abbey,United States Essex,4354428,,US,United States,Essex,6252001,39.3055,-76.4518
24,abbeych01,1866,United States,Falls City,1926,USA,San Francisco,Charlie,Abbey,United States Falls City,4690097,,US,United States,Falls City,6252001,28.9814,-98.0156
25,abbotda01,1862,United States,Portage,1930,USA,Ottawa Lake,Dan,Abbott,United States Portage,4925006,,US,United States,Portage,6252001,41.5681,-87.1749
30,abbotfr01,1874,United States,Versailles,1935,USA,Los Angeles,Fred,Abbott,United States Versailles,4266266,,US,United States,Versailles,6252001,39.0511,-85.2235
34,abbotgl01,1951,United States,Little Rock,,,,Glenn,Abbott,United States Little Rock,4119403,,US,United States,Little Rock,6252001,34.6725,-92.3529
35,abbotje01,1972,United States,Atlanta,,,,Jeff,Abbott,United States Atlanta,4180439,,US,United States,Atlanta,6252001,33.9707,-84.3247
43,abbotji01,1967,United States,Flint,,,,Jim,Abbott,United States Flint,4691498,,US,United States,Flint,6252001,32.2079,-95.3948
45,abbotku01,1969,United States,Zanesville,,,,Kurt,Abbott,United States Zanesville,4528923,,US,United States,Zanesville,6252001,39.9275,-82.0032
47,abbotky01,1968,United States,Newburyport,,,,Kyle,Abbott,United States Newburyport,4945256,,US,United States,Newburyport,2017370,42.8133,-70.8814
49,abbotpa01,1967,United States,Van Nuys,,,,Paul,Abbott,United States Van Nuys,5405693,,US,United States,Van Nuys,6252001,34.1794,-118.4313
50,aberal01,1927,United States,Cleveland,1993,USA,Garfield Heights,Al,Aber,United States Cleveland,4055815,,US,United States,Cleveland,6252001,33.9778,-86.5598
65,abercre01,1980,United States,Columbus,,,,Reggie,Abercrombie,United States Columbus,4188985,,US,United States,Columbus,6252001,32.473,-84.9795
76,abernbi01,1929,United States,Torrance,2006,USA,Yucaipa,Bill,Abernathie,United States Torrance,5403022,,US,United States,Torrance,6252001,33.8104,-118.3531
77,abernbr01,1977,United States,Atlanta,,,,Brent,Abernathy,United States Atlanta,4180439,,US,United States,Atlanta,6252001,33.9707,-84.3247
86,abernte02,1933,United States,Stanley,2004,USA,Gastonia,Ted,Abernathy,United States Stanley,4493226,,US,United States,Stanley,6252001,35.3516,-81.0959
93,abernwo01,1915,United States,Forest City,1994,USA,Louisville,Woody,Abernathy,United States Forest City,4466720,,US,United States,Forest City,6252001,35.325,-81.846
95,aberscl01,1921,United States,Chicago,1973,USA,Vallejo,Cliff,Aberson,United States Chicago,4887398,,US,United States,Chicago,6252001,41.8777,-87.6376
96,ablesha01,1883,United States,Terrell,1951,USA,San Antonio,Harry,Ables,United States Terrell,4736028,,US,United States,Terrell,6252001,32.7515,-96.2831
97,abnersh01,1966,United States,Hamilton,,,,Shawn,Abner,United States Hamilton,4065965,,US,United States,Hamilton,6252001,34.1534,-88.0085
108,abramca01,1924,United States,Philadelphia,1997,USA,Fort Lauderdale,Cal,Abrams,United States Philadelphia,4440906,,US,United States,Philadelphia,6252001,32.7572,-89.1154
112,abramge01,1899,United States,Seattle,1986,USA,Clearwater,George,Abrams,United States Seattle,5809844,,US,United States,Seattle,3077311,47.4902,-122.3004
113,abregjo01,1962,United States,Corpus Christi,,,,Johnny,Abrego,United States Corpus Christi,4683416,,US,United States,Corpus Christi,6252001,27.7262,-97.4078
115,abreujo01,1913,United States,Oakland,1993,USA,Hayward,Joe,Abreu,United States Oakland,4166628,,US,United States,Oakland,6252001,28.5547,-81.6322
131,accarje01,1981,United States,Phoenix,,,,Jeremy,Accardo,United States Phoenix,4365339,,US,United States,Phoenix,6252001,39.4833,-76.5776
138,achteaj01,1988,United States,Toledo,,,,A. J.,Achter,United States Toledo,4251330,,US,United States,Toledo,6252001,39.2772,-88.2468
143,ackerji01,1958,United States,Freer,,,,Jim,Acker,United States Freer,4692359,,US,United States,Freer,6252001,27.88,-98.6061
144,ackerto01,1930,United States,Paterson,,,,Tom,Acker,United States Paterson,5102466,,US,United States,Paterson,6252001,40.897,-74.1573
145,ackledu01,1988,United States,Winston-Salem,,,,Dustin,Ackley,United States Winston-Salem,4499612,,US,United States,Winston-Salem,6252001,36.0682,-80.2928
146,acklefr01,1937,United States,Hayward,2002,USA,Duluth,Fritz,Ackley,United States Hayward,5255882,,US,United States,Hayward,6252001,45.9552,-91.2783
153,acrema01,1968,United States,Concord,,,,Mark,Acre,United States Concord,4189077,,US,United States,Concord,6252001,33.0998,-84.447
163,adairbi99,1913,United States,Mobile,2002,USA,Bay Minette,Bill,Adair,United States Mobile,4076598,,US,United States,Mobile,6252001,30.6605,-88.1618
164,adairje01,1936,United States,Sand Springs,1987,USA,Tulsa,Jerry,Adair,United States Sand Springs,4550659,,US,United States,Sand Springs,6252001,36.1341,-96.1426
165,adairji01,1907,United States,Waxahachie,1982,USA,Farmers Branch,Jimmy,Adair,United States Waxahachie,4740328,,US,United States,Waxahachie,6252001,32.3816,-96.8322
168,adamja01,1991,United States,Overland Park,,,,Jason,Adam,United States Overland Park,4276873,,US,United States,Overland Park,6252001,38.9507,-94.6824
169,adamsac01,1910,United States,Willows,2006,USA,Albany,Ace,Adams,United States Willows,5409777,,US,United States,Willows,6252001,39.5353,-122.2597
170,adamsau01,1986,United States,Montgomery,,,,Austin,Adams,United States Montgomery,4076784,,US,United States,Montgomery,6252001,32.3668,-86.3
176,adamsau02,1991,United States,Tampa,,,,Austin,Adams,United States Tampa,4174757,,US,United States,Tampa,6252001,27.959,-82.4938
178,adamsba01,1882,United States,Tipton,1968,USA,Silver Spring,Babe,Adams,United States Tipton,4411809,,US,United States,Tipton,6252001,38.6548,-92.7814
184,adamsbe01,1891,United States,Wharton,1940,USA,Los Angeles,Bert,Adams,United States Wharton,4741325,,US,United States,Wharton,6252001,29.3205,-96.0858
186,adamsbo01,1901,United States,Holyoke,1996,USA,Lemoyne,Bob,Adams,United States Holyoke,4939783,,US,United States,Holyoke,6252001,42.2043,-72.6162
187,adamsbo02,1907,United States,Birmingham,1970,USA,Jacksonville,Bob,Adams,United States Birmingham,4049979,,US,United States,Birmingham,6252001,33.513,-86.7372
189,adamsbo03,1921,United States,Tuolumne,1997,USA,Gig Harbor,Bobby,Adams,United States Tuolumne,5403968,,US,United States,Tuolumne,6252001,37.9678,-120.2357
190,adamsbo04,1952,United States,Pittsburgh,,,,Bob,Adams,United States Pittsburgh,5206379,,US,United States,Pittsburgh,6252001,40.4688,-80.0872
191,adamsbu01,1915,United States,Trinidad,1990,USA,Rancho Mirage,Buster,Adams,United States Trinidad,4737501,,US,United States,Trinidad,6252001,32.1383,-96.0831
194,adamsch01,1994,United States,Scottsdale,,,,Chance,Adams,United States Scottsdale,5313457,,US,United States,Scottsdale,6252001,33.6194,-111.9556
197,adamsdi01,1920,United States,Tuolumne,2016,USA,Fallbrook,Dick,Adams,United States Tuolumne,5403968,,US,United States,Tuolumne,6252001,37.9678,-120.2357
198,adamsdo01,1943,United States,Blue River,,,,Doug,Adams,United States Blue River,5714876,,US,United States,Blue River,6252001,44.1755,-122.1217
199,adamsge01,1855,United States,Worcester,1920,USA,Clarkston,George,Adams,United States Worcester,4956184,,US,United States,Worcester,6252001,42.2894,-71.7888
203,adamsgl01,1947,United States,Northbridge,,,,Glenn,Adams,United States Northbridge,4945848,,US,United States,Northbridge,6252001,42.1494,-71.6564
204,adamshe01,1928,United States,Hollywood,2012,USA,Tulsa,Herb,Adams,United States Hollywood,4158928,,US,United States,Hollywood,6252001,25.992,-80.2702
209,adamsjo02,1971,United States,Lakewood,,,,Joel,Adamson,United States Lakewood,4635340,,US,United States,Lakewood,6252001,36.2416,-86.6117
217,adamska01,1891,United States,Columbus,1967,USA,Everett,Karl,Adams,United States Columbus,4188985,,US,United States,Columbus,6252001,32.473,-84.9795
228,adamsla01,1989,United States,Talihina,,,,Lane,Adams,United States Talihina,4552725,,US,United States,Talihina,6252001,34.7381,-94.9978
229,adamsma01,1988,United States,Philipsburg,,,,Matt,Adams,United States Philipsburg,5205806,,US,United States,Philipsburg,6252001,40.8863,-78.219
230,adamsmi01,1947,United States,San Diego,,,,Mike,Adamson,United States San Diego,5391811,,US,United States,San Diego,6252001,32.7097,-117.1228
231,adamsmi02,1948,United States,Cincinnati,,,,Mike,Adams,United States Cincinnati,4508722,,US,United States,Cincinnati,6252001,39.2663,-84.5221
233,adamsmi03,1978,United States,Corpus Christi,,,,Mike,Adams,United States Corpus Christi,4683416,,US,United States,Corpus Christi,6252001,27.7262,-97.4078
234,adamsre01,1921,United States,Parlier,2017,USA,Fresno,Red,Adams,United States Parlier,5381325,,US,United States,Parlier,6252001,36.6103,-119.5375
235,adamsri01,1878,United States,Paris,1955,USA,Paris,Rick,Adams,United States Paris,4125402,,US,United States,Paris,6252001,35.2941,-93.7265
243,adamsri02,1959,United States,Upland,2011,USA,Rancho Cucamonga,Ricky,Adams,United States Upland,4927510,,US,United States,Upland,6252001,40.4548,-85.499
245,adamsru01,1980,United States,Laurinburg,,,,Russ,Adams,United States Laurinburg,4475347,,US,United States,Laurinburg,6252001,34.7599,-79.4673
246,adamsry01,1987,United States,New Orleans,,,,Ryan,Adams,United States New Orleans,4335045,,US,United States,New Orleans,6252001,29.9353,-90.074
248,adamssp02,1898,United States,Layton,1970,USA,Salt Lake City,Spencer,Adams,United States Layton,5777107,,US,United States,Layton,6252001,41.0854,-111.9682
249,adamste01,1973,United States,Mobile,,,,Terry,Adams,United States Mobile,4076598,,US,United States,Mobile,6252001,30.6605,-88.1618
250,adamswi01,1890,United States,Clearfield,1937,USA,Albany,Willie,Adams,United States Clearfield,5184541,,US,United States,Clearfield,6252001,41.021,-78.4435
252,adamswi02,1972,United States,Gallup,,,,Willie,Adams,United States Gallup,5468773,,US,United States,Gallup,6252001,35.5065,-108.7414
253,adcocjo01,1927,United States,Coushatta,1999,USA,Coushatta,Joe,Adcock,United States Coushatta,4321014,,US,United States,Coushatta,6252001,32.0231,-93.2648
254,adcocna01,1988,United States,Elizabethtown,,,,Nathan,Adcock,United States Elizabethtown,4237790,,US,United States,Elizabethtown,6252001,37.4665,-88.2867
259,addisbo01,1925,United States,Mineral,2016,USA,Mentor,Bob,Addis,United States Mineral,4773410,,US,United States,Mineral,6252001,37.9986,-77.8781
260,adducji01,1959,United States,Chicago,,,,Jim,Adduci,United States Chicago,4887398,,US,United States,Chicago,6252001,41.8777,-87.6376
261,adducji02,1985,Canada,Burnaby,,,,Jim,Adduci,Canada Burnaby,5911606,,CA,Canada,Burnaby,6252001,49.25,-122.95
262,addybo01,1842,Canada,Port Hope,1910,USA,Pocatello,Bob,Addy,Canada Port Hope,6111881,,CA,Canada,Port Hope,6251999,44.0168,-78.3995
263,adenhni01,1986,United States,Silver Spring,2009,USA,Orange,Nick,Adenhart,United States Silver Spring,4369596,,US,United States,Silver Spring,6252001,38.9994,-77.0336
264,aderhmo01,1915,United States,Mount Olive,1955,USA,Sarasota,Morrie,Aderholt,United States Mount Olive,4077867,,US,United States,Mount Olive,6252001,33.6768,-86.8717
268,adkinde01,1918,United States,Norcatur,1998,USA,Santa Monica,Dewey,Adkins,United States Norcatur,5446057,,US,United States,Norcatur,6252001,39.8447,-100.2007
269,adkindi01,1920,United States,Electra,1955,USA,Electra,Dick,Adkins,United States Electra,4688739,,US,United States,Electra,6252001,34.0362,-98.9155
270,adkindo01,1872,United States,Troy,1934,USA,Durham,Doc,Adkins,United States Troy,4094163,,US,United States,Troy,6252001,31.8028,-85.9546
285,adkingr01,1897,United States,Jacksonville,1966,USA,Little Rock,Grady,Adkins,United States Jacksonville,4069553,,US,United States,Jacksonville,6252001,33.831,-85.7752
292,adkinhe01,1874,United States,Fulton,1953,USA,Mexico,Harry,Atkinson,United States Fulton,4292424,,US,United States,Fulton,6252001,36.5475,-88.8749
298,adkinjo01,1977,United States,Huntington,,,,Jon,Adkins,United States Huntington,4115654,,US,United States,Huntington,6252001,35.0963,-94.3313
304,adkinst01,1964,United States,Chicago,,,,Steve,Adkins,United States Chicago,4887398,,US,United States,Chicago,6252001,41.8777,-87.6376
305,adlemti01,1987,United States,Staten Island,,,,Tim,Adleman,United States Staten Island,5139568,,US,United States,Staten Island,6252001,40.5956,-74.0806
306,adlesda01,1943,United States,Long Beach,2016,USA,Long Beach,Dave,Adlesh,United States Long Beach,4434069,,US,United States,Long Beach,6252001,30.3598,-89.1646
311,afenitr01,1963,United States,Escondido,,,,Troy,Afenir,United States Escondido,5346827,,US,United States,Escondido,6252001,33.1661,-117.0932
312,affelje01,1979,United States,Phoenix,,,,Jeremy,Affeldt,United States Phoenix,4365339,,US,United States,Phoenix,6252001,39.4833,-76.5776
316,agbaybe01,1971,United States,Honolulu,,,,Benny,Agbayani,United States Honolulu,5856195,,US,United States,Honolulu,6252001,21.3069,-157.8583
317,ageeto01,1942,United States,Magnolia,2001,USA,New York,Tommie,Agee,United States Magnolia,4120323,,US,United States,Magnolia,6252001,33.2647,-93.2392
325,agganha01,1929,United States,Lynn,1955,USA,Cambridge,Harry,Agganis,United States Lynn,4923096,,US,United States,Lynn,6252001,40.0519,-84.93
327,aglerjo01,1887,United States,Coshocton,1971,USA,Massillon,Joe,Agler,United States Coshocton,5151186,,US,United States,Coshocton,6252001,40.2754,-81.866
328,agnewsa01,1887,United States,Farmington,1951,USA,Sonoma,Sam,Agnew,United States Farmington,4110443,,US,United States,Farmington,6252001,36.0436,-94.2539
343,aguilch01,1979,United States,Redwood City,,,,Chris,Aguila,United States Redwood City,5386834,,US,United States,Redwood City,6252001,37.5313,-122.2501
345,aguilri01,1961,United States,San Gabriel,,,,Rick,Aguilera,United States San Gabriel,5392034,,US,United States,San Gabriel,6252001,34.1124,-118.0925
346,aguirha01,1931,United States,Azusa,1994,USA,Bloomfield Hills,Hank,Aguirre,United States Azusa,5325423,,US,United States,Azusa,6252001,34.123,-117.8988
347,ahearch01,1858,United States,Troy,1919,USA,Troy,Bill,Ahearn,United States Troy,4094163,,US,United States,Troy,6252001,31.8028,-85.9546
362,ahearpa01,1969,United States,San Francisco,,,,Pat,Ahearne,United States San Francisco,5391959,,US,United States,San Francisco,2017370,37.7751,-122.4193
363,ahmedni01,1990,United States,Springfield,,,,Nick,Ahmed,United States Springfield,4224162,,US,United States,Springfield,6252001,32.3697,-81.3618
381,aikenwi01,1954,United States,Seneca,,,,Willie,Aikens,United States Seneca,4279170,,US,United States,Seneca,6252001,39.8473,-96.0316
387,aingeda01,1959,United States,Eugene,,,,Danny,Ainge,United States Eugene,5725846,,US,United States,Eugene,6252001,44.0645,-123.1461
388,ainswku01,1978,United States,Baton Rouge,,,,Kurt,Ainsworth,United States Baton Rouge,4315588,,US,United States,Baton Rouge,6252001,30.415,-91.0773
389,aitchra01,1887,United States,Tyndall,1958,USA,Columbus,Raleigh,Aitchison,United States Tyndall,5232489,,US,United States,Tyndall,6252001,42.99,-97.8633
390,aitonge01,1890,United States,Kingman,1976,USA,North Hollywood,George,Aiton,United States Kingman,4259918,,US,United States,Kingman,6252001,40.0174,-87.2569
393,akejo01,1861,United States,Altoona,1887,USA,La Crosse,John,Ake,United States Altoona,4145953,,US,United States,Altoona,6252001,29.0219,-81.6323
398,akerfda01,1962,United States,Denver,2012,USA,Phoenix,Darrel,Akerfelds,United States Denver,4463523,,US,United States,Denver,6252001,35.4837,-80.9898
402,akerja01,1940,United States,Tulare,,,,Jack,Aker,United States Tulare,5403783,,US,United States,Tulare,6252001,36.2017,-119.3402
403,akersbi01,1904,United States,Chattanooga,1962,USA,Chattanooga,Bill,Akers,United States Chattanooga,4532895,,US,United States,Chattanooga,6252001,34.4262,-98.6514
405,akersje01,1887,United States,Shelbyville,1979,USA,Bay Pines,Jerry,Akers,United States Shelbyville,4249857,,US,United States,Shelbyville,6252001,39.458,-88.8058
412,albaljo01,1982,Puerto Rico,San Juan,,,,Jonathan,Albaladejo,Puerto Rico San Juan,4568127,,PR,Puerto Rico,San Juan,4566966,18.4686,-66.1057
413,albanjo01,1933,United States,New York,2000,USA,New York,Joe,Albanese,United States New York,5128581,,US,United States,New York,798549,40.7157,-74
414,alberan01,1985,Canada,North Battleford,,,,Andrew,Albers,Canada North Battleford,6089404,,CA,Canada,North Battleford,6251999,52.7834,-108.2847
415,alberbu01,1950,United States,Williamsport,,,,Butch,Alberts,United States Williamsport,4528434,,US,United States,Williamsport,6252001,39.6117,-83.1251
418,albercy01,1882,United States,Grand Rapids,1917,USA,Fort Wayne,Cy,Alberts,United States Grand Rapids,4994358,,US,United States,Grand Rapids,6252001,43.0213,-85.6064
421,albergu01,1860,United States,Reading,1912,USA,Idaho Springs,Gus,Alberts,United States Reading,4948462,,US,United States,Reading,6252001,42.528,-71.109
424,alberjo01,1969,Puerto Rico,San Juan,,,,Jose,Alberro,Puerto Rico San Juan,4568127,,PR,Puerto Rico,San Juan,4566966,18.4686,-66.1057
425,alberma01,1983,United States,Houston,,,,Matt,Albers,United States Houston,4430529,,US,United States,Houston,6252001,33.9026,-88.967
429,albosed01,1918,United States,Saginaw,2003,USA,Saginaw,Ed,Albosta,United States Saginaw,5007989,,US,United States,Saginaw,6252001,43.4634,-84.028
432,albrija01,1921,United States,St. Petersburg,1991,USA,San Diego,Jack,Albright,United States St. Petersburg,4171563,,US,United States,St. Petersburg,6252001,27.8402,-82.6493
434,alburvi01,1947,United States,Key West,2017,USA,Tampa,Vic,Albury,United States Key West,4160812,,US,United States,Key West,2635167,24.5615,-81.7818
441,alcarlu01,1941,Puerto Rico,Humacao,,,,Luis,Alcaraz,Puerto Rico Humacao,4565564,,PR,Puerto Rico,Humacao,6252001,18.1497,-65.8274
442,alcocsc01,1885,United States,Wooster,1973,USA,Wooster,Scotty,Alcock,United States Wooster,5177358,,US,United States,Wooster,6252001,40.8142,-81.9387
443,alderda01,1918,United States,Belden,1982,USA,Garden Grove,Dale,Alderson,United States Belden,4417553,,US,United States,Belden,6252001,34.3057,-88.8462
444,aldremi01,1961,United States,Carmel,,,,Mike,Aldrete,United States Carmel,4255466,,US,United States,Carmel,6252001,39.9714,-86.1295
447,aldresc01,1968,United States,Flint,,,,Scott,Aldred,United States Flint,4691498,,US,United States,Flint,6252001,32.2079,-95.3948
449,aldrico01,1979,United States,San Angelo,,,,Cory,Aldridge,United States San Angelo,5530022,,US,United States,San Angelo,6252001,31.4193,-100.4803
450,aldrija01,1961,United States,Alexandria,,,,Jay,Aldrich,United States Alexandria,4282342,,US,United States,Alexandria,6252001,38.9406,-84.3943
459,aldrivi01,1893,United States,Crane,1973,USA,Terre Haute,Vic,Aldridge,United States Crane,4256252,,US,United States,Crane,6252001,38.8949,-86.9002
462,alexabo01,1922,Canada,Vancouver,1993,USA,Oceanside,Bob,Alexander,Canada Vancouver,6173331,,CA,Canada,Vancouver,6251999,49.245,-123.1337
463,alexada01,1903,United States,Greeneville,1979,USA,Greeneville,Dale,Alexander,United States Greeneville,4626334,,US,United States,Greeneville,6252001,36.1294,-82.866
464,alexado01,1950,United States,Cordova,,,,Doyle,Alexander,United States Cordova,4050552,,US,United States,Cordova,6252001,35.16,-89.7768
468,alexaga01,1953,United States,Los Angeles,,,,Gary,Alexander,United States Los Angeles,5368361,,US,United States,Los Angeles,597427,34.0544,-118.244
469,alexage01,1968,United States,Baton Rouge,,,,Gerald,Alexander,United States Baton Rouge,4315588,,US,United States,Baton Rouge,6252001,30.415,-91.0773
470,alexahu01,1917,United States,Buffalo,2000,USA,Oklahoma City,Hugh,Alexander,United States Buffalo,4234762,,US,United States,Buffalo,6252001,39.8499,-89.3879
479,alexama01,1947,United States,Shreveport,,,,Matt,Alexander,United States Shreveport,4341513,,US,United States,Shreveport,6252001,32.3904,-93.7117
481,alexani01,1858,United States,Pana,1933,USA,Pana,Nin,Alexander,United States Pana,4246595,,US,United States,Pana,6252001,39.3971,-89.1048
482,alexape01,1887,United States,Elba,1950,USA,St. Paul,Pete,Alexander,United States Elba,4828081,,US,United States,Elba,6252001,31.4137,-86.0777
484,alexasc01,1989,United States,Santa Rosa,,,,Scott,Alexander,United States Santa Rosa,4727076,,US,United States,Santa Rosa,6252001,26.2555,-97.8257
487,alexawa01,1891,United States,Atlanta,1978,USA,Fort Worth,Walt,Alexander,United States Atlanta,4180439,,US,United States,Atlanta,6252001,33.9707,-84.3247
495,alfarja01,1977,United States,San Antonio,,,,Jason,Alfaro,United States San Antonio,4171771,,US,United States,San Antonio,6252001,28.3371,-82.2882
500,alfonel01,1979,Venezuela,Puerto La Cruz,,,,Eliezer,Alfonzo,Venezuela Puerto La Cruz,3629671,SA,VE,Venezuela,Puerto La Cruz,1861060,10.5333,-67.35
501,alforan01,1994,United States,Columbia,,,,Anthony,Alford,United States Columbia,4236206,,US,United States,Columbia,6252001,38.4325,-90.2027
518,allanan01,1961,United States,Richmond,,,,Andy,Allanson,United States Richmond,4263681,,US,United States,Richmond,6252001,39.8335,-84.8983
531,allarbr01,1958,United States,Spring Valley,,,,Brian,Allard,United States Spring Valley,4525289,,US,United States,Spring Valley,6252001,39.6083,-84.026
537,allarko01,1997,United States,Anaheim,,,,Kolby,Allard,United States Anaheim,5323810,,US,United States,Anaheim,6252001,33.8055,-117.9223
538,allenbe01,1939,United States,East Liverpool,,,,Bernie,Allen,United States East Liverpool,5152709,,US,United States,East Liverpool,6252001,40.6774,-80.6006
539,allenbo01,1867,United States,Marion,1943,USA,Little Rock,Bob,Allen,United States Marion,4049048,,US,United States,Marion,6252001,38.0266,-75.7579
560,allenbo02,1894,United States,Muscoda,1975,USA,Naperville,Bob,Allen,United States Muscoda,5264038,,US,United States,Muscoda,6252001,43.2074,-90.457
561,allenbo03,1914,United States,Smithville,2005,USA,Chesapeake,Bob,Allen,United States Smithville,4409199,,US,United States,Smithville,6252001,39.3917,-94.5592
565,allenbo04,1937,United States,Tatum,,,,Bob,Allen,United States Tatum,4735674,,US,United States,Tatum,6252001,32.3266,-94.596
566,allenbr01,1986,United States,Conroe,,,,Brandon,Allen,United States Conroe,4682991,,US,United States,Conroe,6252001,30.1877,-95.4288
567,allench01,1975,United States,Dallas,,,,Chad,Allen,United States Dallas,4190598,,US,United States,Dallas,6252001,33.8992,-84.8572
573,allenco01,1988,United States,Orlando,,,,Cody,Allen,United States Orlando,4167147,,US,United States,Orlando,6252001,28.5436,-81.3738
575,allendu01,1972,United States,Oklahoma City,,,,Dusty,Allen,United States Oklahoma City,4544349,,US,United States,Oklahoma City,2921044,35.5144,-97.5865
576,allenet01,1904,United States,Cincinnati,1993,USA,Crescent City,Ethan,Allen,United States Cincinnati,4508722,,US,United States,Cincinnati,6252001,39.2663,-84.5221
578,allenfr01,1888,United States,Newbern,1933,USA,Gainsville,Frank,Allen,United States Newbern,4645498,,US,United States,Newbern,6252001,36.1009,-89.2514
579,allenga01,1955,United States,Culver City,,,,Gary,Allenson,United States Culver City,5341114,,US,United States,Culver City,6252001,34.0141,-118.3983
580,allengr01,1993,United States,San Diego,,,,Greg,Allen,United States San Diego,5391811,,US,United States,San Diego,6252001,32.7097,-117.1228
581,allenha01,1846,United States,Augusta,1881,USA,Natick,Ham,Allen,United States Augusta,4099952,,US,United States,Augusta,6252001,35.2788,-91.3527
590,allenhe01,1863,United States,Westport,1916,USA,Saugatuck,Hezekiah,Allen,United States Westport,4666982,,US,United States,Westport,6252001,35.8845,-88.2892
595,allenho01,1899,United States,DeLand,1981,USA,Canton,Horace,Allen,United States DeLand,4152890,,US,United States,DeLand,6252001,29.0422,-81.2863
596,allenja01,1855,United States,Woodstock,1915,USA,Trenton,Jack,Allen,United States Woodstock,4231874,,US,United States,Woodstock,6252001,34.1078,-84.5026
603,allenja02,1958,United States,Yakima,,,,Jamie,Allen,United States Yakima,5816605,,US,United States,Yakima,6252001,46.6021,-120.5059
604,allenje01,1972,United States,Anderson,,,,Jermaine,Allensworth,United States Anderson,4374798,,US,United States,Anderson,6252001,36.6506,-94.4436
609,allenjo01,1890,United States,Berkeley Springs,1967,USA,Hagerstown,John,Allen,United States Berkeley Springs,4798697,,US,United States,Berkeley Springs,6252001,39.5526,-78.1877
610,allenjo02,1904,United States,Lenoir,1959,USA,St. Petersburg,Johnny,Allen,United States Lenoir,4475640,,US,United States,Lenoir,6252001,35.9188,-81.5403
611,allenki01,1953,United States,Fontana,,,,Kim,Allen,United States Fontana,4271643,,US,United States,Fontana,6252001,38.4102,-94.8718
614,allenll01,1950,United States,Merced,,,,Lloyd,Allen,United States Merced,5372253,,US,United States,Merced,6252001,37.3082,-120.48
615,allenlu01,1978,United States,Covington,,,,Luke,Allen,United States Covington,4189785,,US,United States,Covington,6252001,33.5146,-83.8626
623,allenmy01,1854,United States,Kingston,1924,USA,Kingston,Myron,Allen,United States Kingston,4204015,,US,United States,Kingston,6252001,34.2501,-84.9973
636,allenne01,1958,United States,Kansas City,,,,Neil,Allen,United States Kansas City,4273837,,US,United States,Kansas City,6252001,39.0661,-94.6288
638,allenni01,1888,United States,Norton,1939,USA,Hines,Nick,Allen,United States Norton,4276452,,US,United States,Norton,6252001,39.8407,-99.8878
641,allenpe01,1868,United States,Columbiana,1946,USA,Philadelphia,Pete,Allen,United States Columbiana,4056427,,US,United States,Columbiana,6252001,33.177,-86.6161
644,allenro02,1959,United States,Los Angeles,,,,Rod,Allen,United States Los Angeles,5368361,,US,United States,Los Angeles,597427,34.0544,-118.244
645,allensl01,1886,United States,West Plains,1959,USA,Lubbock,Sled,Allen,United States West Plains,4414200,,US,United States,West Plains,6252001,36.7284,-91.8717
646,alleyge01,1940,United States,Richmond,,,,Gene,Alley,United States Richmond,4263681,,US,United States,Richmond,6252001,39.8335,-84.8983
659,alliebo01,1952,United States,New Bedford,,,,Bob,Allietta,United States New Bedford,4945121,,US,United States,New Bedford,6252001,41.6127,-70.9167
660,alliega01,1931,United States,Statesville,2016,USA,San Antonio,Gair,Allie,United States Statesville,4493316,,US,United States,Statesville,6252001,35.799,-80.894
661,allisan01,1848,United States,New York,1897,USA,Brooklyn,Andy,Allison,United States New York,5128581,,US,United States,New York,798549,40.7157,-74
662,allisar01,1849,United States,Philadelphia,1916,USA,Washington,Art,Allison,United States Philadelphia,4440906,,US,United States,Philadelphia,6252001,32.7572,-89.1154
666,allisbi01,1850,United States,New York,1887,USA,Brooklyn,Bill,Allison,United States New York,5128581,,US,United States,New York,798549,40.7157,-74
668,allisda01,1966,United States,Front Royal,,,,Dana,Allison,United States Front Royal,4760232,,US,United States,Front Royal,6252001,38.9268,-78.1796
669,allisdo01,1846,United States,Philadelphia,1916,USA,Washington,Doug,Allison,United States Philadelphia,4440906,,US,United States,Philadelphia,6252001,32.7572,-89.1154
